	Waiting pedestrians	Total pedestrians
2	0	1
3	0	1
4	0	0
5	0	0
6	0	0
7	0	2
8	0	2
9	0	1
10	0	0
11	0	0
12	0	1
13	0	2
14	0	3
15	0	3
16	0	3
17	0	2
18	0	1
19	0	3
20	0	2
21	0	2
22	0	3
23	0	5
24	0	4
25	0	2
26	0	4
27	0	3
28	1	9
29	1	7
30	0	4
31	0	2
32	0	5
33	0	5
34	1	5
35	0	7
36	1	8
37	1	10
38	0	12
39	0	8
40	0	10
41	1	10
42	0	7
43	1	9
44	0	11
45	0	10
46	1	9
47	1	11
48	0	12
49	1	13
50	0	13
51	0	13
52	0	12
53	0	16
54	1	13
55	1	11
56	0	13
57	2	13
58	3	16
59	1	14
60	1	15
61	0	15
62	3	17
63	3	18
64	3	17
65	3	14
66	3	15
67	1	19
68	5	20
69	2	15
70	3	19
71	0	15
72	0	10
73	0	11
74	2	15
75	1	14
76	2	15
77	0	16
78	0	16
79	1	15
80	0	12
81	0	13
82	1	14
83	0	14
84	0	12
85	0	11
86	1	12
87	2	13
88	4	21
89	1	14
90	2	15
91	1	15
92	3	19
93	3	19
94	3	18
95	2	15
96	1	15
97	3	19
98	8	20
99	2	17
100	1	17
101	2	15
102	0	11
103	0	14
104	1	15
105	1	15
106	3	16
107	1	14
108	0	14
109	1	14
110	0	13
111	0	15
112	3	14
113	1	18
114	1	14
115	0	10
116	1	14
117	1	13
118	3	18
119	1	14
120	0	15
121	1	16
122	2	17
123	3	18
124	7	18
125	4	14
126	3	16
127	5	20
128	7	21
129	2	18
130	3	20
131	3	16
132	0	12
133	1	14
134	3	15
135	0	16
136	4	15
137	2	13
138	0	13
139	2	16
140	0	14
141	1	13
142	1	15
143	0	15
144	1	13
145	0	10
146	1	12
147	0	13
148	3	17
149	1	13
150	0	15
151	3	16
152	4	17
153	3	17
154	4	19
155	3	15
156	2	16
157	4	21
158	6	21
159	3	16
160	4	19
161	3	15
162	0	12
163	0	14
164	2	15
165	1	13
166	2	13
167	0	13
168	0	14
169	2	14
170	1	16
171	1	15
172	2	13
173	3	15
174	1	12
175	0	11
176	1	14
177	1	13
178	2	17
179	2	14
180	1	15
181	1	16
182	2	15
183	2	16
184	2	17
185	1	14
186	2	16
187	1	18
188	3	19
189	0	12
190	0	17
191	1	11
192	0	9
193	0	11
194	0	13
195	0	12
196	1	12
197	0	11
198	0	11
199	1	11
200	0	10
201	1	11
202	0	11
203	0	11
204	0	11
205	0	6
206	0	9
207	0	10
208	0	10
209	0	5
210	0	7
211	0	12
212	1	10
213	2	12
214	0	11
215	0	6
216	1	5
217	0	9
218	0	7
219	0	2
220	0	4
221	0	3
222	0	1
223	0	4
223	0	4
224	0	5
225	0	5
226	0	5
227	0	4
228	0	1
229	0	1
230	0	1
231	0	1
232	0	2
233	0	1
234	0	0
235	0	0
236	0	0
237	0	0
238	0	1
239	0	1
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
256	0	0
257	0	0
258	0	0
259	0	0
260	0	0
261	0	0
262	0	0
263	0	0
264	0	0
265	0	0
266	0	0
267	0	0
268	0	0
269	0	0
270	0	0
271	0	0
272	0	0
273	0	0
274	0	0
275	0	0
276	0	0
277	0	0
278	0	0
279	0	0
280	0	0
281	0	0
282	0	0
283	0	0
284	0	0
285	0	0
286	0	0
287	0	0
288	0	0
289	0	0
290	0	0
291	0	0
292	0	0
293	0	0
294	0	0
295	0	0
296	0	0
297	0	0
298	0	0
299	0	0
300	0	0
